100000 3
0.164670 0.758180 0.463839 
0.031326 0.677376 0.916660 
0.204758 0.750402 0.522688 
0.115054 0.828484 0.583256 
0.018210 0.816567 0.585793 
0.174382 0.585601 0.570172 
0.118567 0.698173 0.516775 
0.051150 0.742690 0.778522 
0.241171 0.527171 0.708209 
0.010032 0.660614 0.734693 
0.067070 0.941222 0.534235 
0.158940 0.479380 0.753720 
0.082384 0.783481 0.709093 
0.025809 0.603730 0.840010 
0.299092 0.609327 0.545443 
0.102224 0.766993 0.741202 
0.088382 0.795444 0.768904 
0.325223 0.685057 0.537889 
0.144568 0.510611 0.747344 
0.119086 0.828583 0.694983 
0.176440 0.785676 0.505965 
0.107452 0.864970 0.525771 
0.174379 0.616451 0.629634 
0.167414 0.831073 0.608612 
0.031523 0.623345 0.811984 
0.388878 0.577523 0.506535 
0.269974 0.497414 0.578727 
0.312897 0.685263 0.510254 
0.021356 0.511185 0.997157 
0.227461 0.505010 0.673134 
0.048891 0.693283 0.802548 
0.057299 0.972723 0.603695 
0.059107 0.521417 0.898882 
0.411298 0.571140 0.544824 
0.059856 0.681150 0.959401 
0.021650 0.853965 0.649033 
0.013074 0.517180 0.809052 
0.112759 0.629741 0.766409 
0.327125 0.618375 0.474957 
0.248234 0.765949 0.518701 
0.015337 0.979831 0.641498 
0.127195 0.902517 0.547066 
0.429739 0.490959 0.474855 
0.169197 0.716690 0.496658 
0.210322 0.677027 0.631983 
0.310902 0.516194 0.591844 
0.262290 0.677992 0.665670 
0.037048 0.929941 0.622501 
0.427160 0.557009 0.512789 
0.037886 0.769109 0.748901 
0.031735 0.660822 0.661158 
0.014111 0.924633 0.656257 
0.391859 0.641353 0.721204 
0.134120 0.749249 0.637153 
0.033899 0.494343 0.940975 
0.276710 0.541441 0.629320 
0.165774 0.794600 0.659103 
0.180202 0.719880 0.696333 
0.230511 0.548122 0.612257 
0.026329 0.885792 0.579718 
0.209068 0.658581 0.570499 
0.016497 0.900968 0.625325 
0.229061 0.558255 0.748863 
0.138634 0.649420 0.775759 
0.001650 0.979809 0.593705 
0.138808 0.668672 0.677416 
0.000984 0.934607 0.634002 
0.088993 0.972050 0.567278 
0.104841 0.954612 0.595561 
0.410209 0.526313 0.551703 
0.248948 0.671657 0.591730 
0.158996 0.781584 0.534844 
0.074084 0.610885 0.847667 
0.489512 0.513332 0.521964 
0.212193 0.697652 0.624474 
0.091248 0.573372 0.813281 
0.336851 0.544960 0.656395 
0.317859 0.603572 0.602641 
0.107167 0.911245 0.547116 
0.113139 0.796083 0.595913 
0.124529 0.573704 0.734941 
0.047845 0.712428 0.751647 
0.147284 0.693783 0.568477 
0.460387 0.510713 0.508712 
0.032199 0.477184 0.825009 
0.098043 0.942644 0.586689 
0.125117 0.663723 0.818834 
0.273172 0.491918 0.614140 
0.183630 0.508423 0.716369 
0.020424 0.706090 0.759437 
0.098633 0.576903 0.840155 
0.080354 0.490156 0.840447 
0.035216 0.633098 0.833727 
0.099185 0.884587 0.578313 
0.155006 0.635852 0.835701 
0.031332 0.887200 0.553464 
0.063064 0.963010 0.573174 
0.213340 0.569543 0.648639 
0.192053 0.516206 0.655465 
0.138796 0.637730 0.819212 
0.021606 0.618492 0.751707 
0.368519 0.608225 0.630282 
0.032109 0.774075 0.566878 
0.250408 0.699092 0.518442 
0.004000 0.550518 0.916825 
0.119453 0.799713 0.749591 
0.360189 0.553460 0.566552 
0.205035 0.812159 0.588858 
0.326105 0.644908 0.645007 
0.024611 0.492796 0.757787 
0.420122 0.614013 0.538091 
0.303165 0.565402 0.533058 
0.061446 0.563000 0.803293 
0.114281 0.901279 0.616767 
0.273018 0.602660 0.587846 
0.079751 0.602431 0.827529 
0.023203 0.543069 0.943106 
0.106030 0.830307 0.651128 
0.035502 0.684554 0.797563 
0.339278 0.588534 0.504011 
0.065032 0.955380 0.527554 
0.035608 0.950920 0.643336 
0.087187 0.801108 0.555906 
0.018546 0.805055 0.762846 
0.252052 0.659285 0.572677 
0.430751 0.558415 0.515676 
0.253726 0.559058 0.735615 
0.338030 0.652917 0.715424 
0.051141 0.957081 0.542033 
0.010856 0.822404 0.718769 
0.027078 0.610746 0.898528 
0.232463 0.567761 0.717131 
0.061779 0.877705 0.510706 
0.140733 0.495861 0.832207 
0.399556 0.533380 0.530146 
0.236133 0.680246 0.743223 
0.145385 0.598406 0.745066 
0.041603 0.841918 0.618674 
0.102029 0.695025 0.815853 
0.289708 0.557982 0.742969 
0.273137 0.532309 0.705346 
0.095965 0.827461 0.599370 
0.114849 0.898484 0.514305 
0.213864 0.562320 0.582329 
0.117794 0.615424 0.879376 
0.203188 0.685574 0.636281 
0.054934 0.895067 0.554335 
0.075980 0.512945 0.922718 
0.423326 0.532141 0.555685 
0.291725 0.599139 0.604625 
0.078013 0.614995 0.819319 
0.058665 0.656968 0.735300 
0.063310 0.818954 0.665681 
0.193994 0.840538 0.565302 
0.306985 0.794569 0.576454 
0.052743 0.917776 0.535752 
0.167899 0.578371 0.763900 
0.220995 0.754550 0.532242 
0.090530 0.771530 0.734946 
0.042839 0.817702 0.756560 
0.317874 0.685423 0.588469 
